id,nombre,precio,stock,bodega,vendidos
386,FullBlast,,,,
387,Fun! Fun! Animal Park,,,,
388,FunBox Party,,,,
389,Furi,,,,
390,Gal*Gun 2,,,,
391,Gal Metal,,,,
392,Galak-Z: Variant S,,,,
393,Garage,,,,
394,The Gardens Between,,,,
395,Gear.Club Unlimited,,,,
396,Gear.Club Unlimited 2,,,,
397,Gekido: Kintaro's Revenge,,,,
398,Gelly Break,,,,
399,Gem Smashers,,,,
400,Gems of War,,,,
401,GetAmped Mobile,,,,
402,Ghost 1.0,,,,
403,Ghoulboy: Dark Sword of Goblin,,,,
404,Giana Sisters: Twisted Dreams,,,,
405,Giga Wrecker Alt.,,,,
406,Gigantic Army,,,,
407,Ginger: Beyond the Crystal,,,,
408,Glaive: Brick Breaker,,,,
409,Glass Masquerade,,,,
410,Gnomes Garden: New Home,,,,
411,Go Vacation,,,,
412,Goat Simulator: The GOATY,,,,
413,God Eater 3,,,,
414,God Wars: The Complete Legend,,,,
415,Gods Remastered,,,,
416,Goetia,,,,
417,The Golf,,,,
418,Golf Peaks,,,,
419,Golf Story,,,,
420,Gone Home,,,,
421,Gonner,,,,
422,Goosebumps: The Game,,,,
423,Gorogoa,,,,
424,Gotcha Racing 2nd,,,,
425,Graceful Explosion Machine,,,,
426,Grand Prix Rock 'N Racing,,,,
427,Grandpa and the Zombies,,,,
428,Grave Danger,,,,
429,Green Game: TimeSwapper,,,,
430,Grid Autosport,,,,
431,Grid Mania,,,,
432,Grim Fandango Remastered,,,,
433,Grip: Combat Racing,,,,
434,Gris,,,,
435,Guacamelee!,,,,
436,Guacamelee! 2,,,,
437,Guilt Battle Arena,,,,
438,Gunhouse,,,,
439,Gunman Clive HD Collection,,,,
440,"Guns, Gore & Cannoli",,,,
441,"Guns, Gore & Cannoli 2",,,,
442,Hammerwatch,,,,
443,Hand of Fate 2,,,,
444,Hard West: Complete Edition,,,,
445,Harvest Moon: Light of Hope,,,,
446,Has-Been Heroes,,,,
447,Heart&Slash,,,,
448,Hell Warders,,,,
449,Hellblade: Senua's Sacrifice,,,,
450,Hello Kitty Kruisers,,,,
451,Hello Neighbor,,,,
452,Hello Neighbor: Hide and Seek,,,,
453,Her Majesty's Spiffing,,,,
454,Heroes of the Monkey Tavern,,,,
455,Heroes Trials,,,,
456,Hexologic,,,,
457,Hiragana Pixel Party,,,,
458,A Hole New World,,,,
459,Hollow,,,,
460,Hollow Knight,,,,
461,Holy Potatoes! A Weapon Shop?!,,,,
462,Holy Potatoes! We're in Space?!,,,,
463,Hook,,,,
464,Hot Springs Story,,,,
465,Hotel Transylvania 3: Monsters Overboard,,,,
466,Human: Fall Flat,,,,
467,Human Resource Machine,,,,
468,Hyper Light Drifter,,,,
469,Hyper Sentinel,,,,
470,Hyrule Warriors,,,,
471,I Am Setsuna,,,,
472,I Am the Hero,,,,
473,I and Me,,,,
474,I Hate Running Backwards,,,,
475,I wanna fly,,,,
476,"I, Zombie",,,,
477,Ice Cream Surfer,,,,
478,Icey,,,,
479,Iconoclasts,,,,
480,Ikaruga,,,,
481,Implosion: Never Lose Hope,,,,
482,The Infectious Madness of Doctor Dekker,,,,
483,Infernium,,,,
484,Infinite Minigolf,,,,
485,Inksplosion,,,,
486,The Inner World: The Last Wind Monk,,,,
487,InnerSpace,,,,
488,Inops,,,,
489,Inside,,,,
490,Into the Breach,,,,
491,Inversus Deluxe,,,,
492,Iro Hero,,,,
493,Iron Crypticle,,,,
494,Ironcast,,,,
495,Island Flight Simulator,,,,
496,It's Spring Again,,,,
497,Ittle Dew 2+,,,,
498,The Jackbox Party Pack,,,,
499,The Jackbox Party Pack 2,,,,
500,The Jackbox Party Pack 3,,,,
501,The Jackbox Party Pack 4,,,,
502,The Jackbox Party Pack 5,,,,
503,Jettomero: Hero of the Universe,,,,
504,Joe Dever's Lone Wolf,,,,
505,Johnny Turbo's Arcade: Bad Dudes,,,,
506,Johnny Turbo's Arcade: Gate of Doom,,,,
507,Jotun: Valhalla Edition,,,,
508,The Journey Down Trilogy,,,,
509,Jumping Joe & Friends,,,,
510,Jurassic Pinball,,,,
511,Just Dance 2017,,,,
512,Just Dance 2018,,,,
513,Just Dance 2019,,,,
514,Just Shapes & Beats,,,,
515,Jydge,,,,
516,Kamiko,,,,
517,Katamari Damacy Reroll,,,,
518,Katana Zero,,,,
519,Keep Talking and Nobody Explodes,,,,
520,Kero Blaster,,,,
521,Kid Tripp,,,,
522,Killer Queen Black,,,,
523,King Oddball,,,,
524,The King's Bird,,,,
525,Kingdom: New Lands,,,,
526,Kingdom: Two Crowns,,,,
527,Kirby Star Allies,,,,
528,Kitten Squad,,,,
529,Knight Terrors,,,,
530,Knights of Pen and Paper +1 Deluxier Edition,,,,
531,Koi DX,,,,
532,Kona,,,,
533,Kotodama: The 7 Mysteries of Fujisawa,,,,
534,L.A. Noire,,,,
535,Labyrinth of Refrain: Coven of Dusk,,,,
536,Last Day of June,,,,
537,Layers of Fear: Legacy,,,,
538,League of Evil,,,,
539,Legend of Kay,,,,
540,The Legend of Zelda: Breath of the Wild,,,,
541,Lego City Undercover,,,,
